"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1500000US060855011023","Block Group 3, Census Tract 5011.02, Santa Clara County, California","113500","null","66811","null",
"1500000US060855012001","Block Group 1, Census Tract 5012, Santa Clara County, California","60404","null","28432","null",
"1500000US060855012002","Block Group 2, Census Tract 5012, Santa Clara County, California","87386","null","65938","null",
"1500000US060855012003","Block Group 3, Census Tract 5012, Santa Clara County, California","84013","null","39938","null",
"1500000US060855012004","Block Group 4, Census Tract 5012, Santa Clara County, California","121328","null","47189","null",
"1500000US060855013001","Block Group 1, Census Tract 5013, Santa Clara County, California","-","-","**","**",
"1500000US060855013002","Block Group 2, Census Tract 5013, Santa Clara County, California","132361","null","54444","null",
"1500000US060855013003","Block Group 3, Census Tract 5013, Santa Clara County, California","132460","null","96820","null",
"1500000US060855014011","Block Group 1, Census Tract 5014.01, Santa Clara County, California","50465","null","8550","null",
"1500000US060855014012","Block Group 2, Census Tract 5014.01, Santa Clara County, California","73426","null","5736","null",
"1500000US060855014021","Block Group 1, Census Tract 5014.02, Santa Clara County, California","78333","null","24139","null",
"1500000US060855014022","Block Group 2, Census Tract 5014.02, Santa Clara County, California","93818","null","15518","null",
"1500000US060855015011","Block Group 1, Census Tract 5015.01, Santa Clara County, California","67019","null","11183","null",
"1500000US060855015012","Block Group 2, Census Tract 5015.01, Santa Clara County, California","55688","null","16295","null",
"1500000US060855015021","Block Group 1, Census Tract 5015.02, Santa Clara County, California","54932","null","30937","null",
"1500000US060855015022","Block Group 2, Census Tract 5015.02, Santa Clara County, California","46685","null","23563","null",
"1500000US060855015023","Block Group 3, Census Tract 5015.02, Santa Clara County, California","133693","null","88294","null",
"1500000US060855016011","Block Group 1, Census Tract 5016.01, Santa Clara County, California","97593","null","21716","null",
"1500000US060855016012","Block Group 2, Census Tract 5016.01, Santa Clara County, California","59231","null","19698","null",
"1500000US060855016021","Block Group 1, Census Tract 5016.02, Santa Clara County, California","48819","null","40324","null",
"1500000US060855016022","Block Group 2, Census Tract 5016.02, Santa Clara County, California","-","-","**","**",
"1500000US060855016023","Block Group 3, Census Tract 5016.02, Santa Clara County, California","55350","null","22735","null",
"1500000US060855017001","Block Group 1, Census Tract 5017, Santa Clara County, California","64375","null","60444","null",
"1500000US060855017002","Block Group 2, Census Tract 5017, Santa Clara County, California","-","-","**","**",
"1500000US060855017003","Block Group 3, Census Tract 5017, Santa Clara County, California","65921","null","27572","null",
"1500000US060855017004","Block Group 4, Census Tract 5017, Santa Clara County, California","62321","null","55130","null",
"1500000US060855018001","Block Group 1, Census Tract 5018, Santa Clara County, California","-","-","**","**",
"1500000US060855018002","Block Group 2, Census Tract 5018, Santa Clara County, California","158088","null","37150","null",
"1500000US060855018003","Block Group 3, Census Tract 5018, Santa Clara County, California","185114","null","79622","null",
"1500000US060855018004","Block Group 4, Census Tract 5018, Santa Clara County, California","152321","null","54482","null",
"1500000US060855019011","Block Group 1, Census Tract 5019.01, Santa Clara County, California","150577","null","48305","null",
"1500000US060855019021","Block Group 1, Census Tract 5019.02, Santa Clara County, California","146500","null","43501","null",
"1500000US060855019022","Block Group 2, Census Tract 5019.02, Santa Clara County, California","68143","null","9426","null",
"1500000US060855020011","Block Group 1, Census Tract 5020.01, Santa Clara County, California","-","-","**","**",
"1500000US060855020012","Block Group 2, Census Tract 5020.01, Santa Clara County, California","86071","null","35883","null",
"1500000US060855020013","Block Group 3, Census Tract 5020.01, Santa Clara County, California","133182","null","47928","null",
"1500000US060855020014","Block Group 4, Census Tract 5020.01, Santa Clara County, California","96875","null","19640","null",
"1500000US060855020021","Block Group 1, Census Tract 5020.02, Santa Clara County, California","-","-","**","**",
"1500000US060855020022","Block Group 2, Census Tract 5020.02, Santa Clara County, California","81930","null","30016","null",
"1500000US060855020023","Block Group 3, Census Tract 5020.02, Santa Clara County, California","90848","null","25476","null",
"1500000US060855021011","Block Group 1, Census Tract 5021.01, Santa Clara County, California","116813","null","36099","null",
"1500000US060855021012","Block Group 2, Census Tract 5021.01, Santa Clara County, California","111750","null","76688","null",
"1500000US060855021013","Block Group 3, Census Tract 5021.01, Santa Clara County, California","105478","null","23206","null",
"1500000US060855021031","Block Group 1, Census Tract 5021.03, Santa Clara County, California","34598","null","24894","null",
"1500000US060855021032","Block Group 2, Census Tract 5021.03, Santa Clara County, California","88902","null","54610","null",
"1500000US060855021041","Block Group 1, Census Tract 5021.04, Santa Clara County, California","148382","null","43591","null",
"1500000US060855021042","Block Group 2, Census Tract 5021.04, Santa Clara County, California","58922","null","32288","null",
"1500000US060855022021","Block Group 1, Census Tract 5022.02, Santa Clara County, California","101131","null","13693","null",
"1500000US060855022022","Block Group 2, Census Tract 5022.02, Santa Clara County, California","109667","null","45620","null",
"1500000US060855022023","Block Group 3, Census Tract 5022.02, Santa Clara County, California","76429","null","60221","null",
"1500000US060855022031","Block Group 1, Census Tract 5022.03, Santa Clara County, California","91250","null","69842","null",
"1500000US060855022032","Block Group 2, Census Tract 5022.03, Santa Clara County, California","134609","null","64866","null",
"1500000US060855022041","Block Group 1, Census Tract 5022.04, Santa Clara County, California","63476","null","22809","null",
"1500000US060855022042","Block Group 2, Census Tract 5022.04, Santa Clara County, California","70298","null","68464","null",
"1500000US060855023011","Block Group 1, Census Tract 5023.01, Santa Clara County, California","123920","null","34821","null",
"1500000US060855023012","Block Group 2, Census Tract 5023.01, Santa Clara County, California","172177","null","39959","null",
"1500000US060855023021","Block Group 1, Census Tract 5023.02, Santa Clara County, California","151298","null","27774","null",
"1500000US060855023022","Block Group 2, Census Tract 5023.02, Santa Clara County, California","96071","null","13942","null",
"1500000US060855024001","Block Group 1, Census Tract 5024, Santa Clara County, California","235469","null","87481","null",
"1500000US060855024002","Block Group 2, Census Tract 5024, Santa Clara County, California","-","-","**","**",
"1500000US060855024003","Block Group 3, Census Tract 5024, Santa Clara County, California","95735","null","30278","null",
"1500000US060855024004","Block Group 4, Census Tract 5024, Santa Clara County, California","187019","null","117565","null",
"1500000US060855024005","Block Group 5, Census Tract 5024, Santa Clara County, California","148354","null","36687","null",
"1500000US060855024006","Block Group 6, Census Tract 5024, Santa Clara County, California","129609","null","40612","null",
"1500000US060855024007","Block Group 7, Census Tract 5024, Santa Clara County, California","131612","null","48198","null",
